Fire?,Project,Users,Records,Description,Stated aim,Collection method,URL,Creator,Creator contact,Found in,Data endpoint,Data collected,Scope,Notes
,Year in the life of a hectare,1,42,"Observations of all macroscopic life forms observed in a 1 hectare area over the course of one year, beginning 1 June 2021. Site is an urban fringe area of forest in Blaxland, New South Wales, Australia. The site is part of Major Mitchell Reserve, Old Bathurst Road, Blaxland. ",1-year observations of macroscopic life in a 1 hectare area,Mobile/Web,https://inaturalist.ala.org.au/projects/107936,NA,https://inaturalist.ala.org.au/messages/new?to=prossington,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,"Blaxland, NSW",collection
,"Fungi in the Blue Mountains, NSW, Australia",15,283,"This project aims to document the biodiversity of fungi found in the Blue Mountains NSW,and focuses primarily on bushcare sites. ","Document fungi in the Blue Mountains, esp. bushcare sites",Mobile/Web,https://inaturalist.ala.org.au/projects/65918,Elizabeth Kabanoff,https://inaturalist.ala.org.au/messages/new?to=liz_k,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,Blue Mountains National Park,collection
,Blue Mountains Crayfish Count,36,60,"Help us to help our crayfish, and get involved with the Blue Mountains Crayfish Count. The iconic brightly coloured crayfish of Blue Mountains streams are long-lived, slow-growing species, and are a very important part of stream ecosystems. Blue Mountains City Council runs annual crayfish surveys in three areas and waterbug surveys at more than sixty sites, but we are unable to conduct formal surveys in every stream- that's where you come in! ...",Count crayfish in the Blue Mountains and estimate their size,Mobile/Web,https://inaturalist.ala.org.au/projects/93838,NA,https://inaturalist.ala.org.au/messages/new?to=ablackwood,iNaturalist,iNaturalist & Atlas of Living Australia,"Alive, Dead, or Trace | Size of crayfish (length)",Blue Mountains National Park,traditional
Yes,Greater Blue Mountains World Heritage Area,154,37066,"Please join this project and help the Blue Mountains World Heritage Institute monitor the presence and movement of flora and fauna across the Blue Mountains. The project goal is to capture long-term records of changes to flora, fauna and ecosystems that may reflect influences such as climate change. https://www.bmwhi.org/ecological-monitoring",Long-term monitoring of flora and fauna in Blue Mountains,Mobile/Web,https://inaturalist.ala.org.au/projects/69404,Sarah Terkes,https://inaturalist.ala.org.au/messages/new?to=sarahterkes,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,GBM WHA,collection
,Flora of the Greater Blue Mountains World Heritage Region,14,16782,"Observations of all flora found within the Greater Blue Mountains World Heritage Region, which includes not only all protected areas of the GBMWHA, such as National Parks, State Conservation Areas, Nature Reserves and State Forests, but all areas within the Greater Blue Mountains Region, such as townships, private and crown lands, remnant bushland pockets and adjacent bushland areas, where endemics may persist. Whilst the emphasis of the proje...",Collect all flora observations within GBM WHA,Mobile/Web,https://inaturalist.ala.org.au/projects/48545,Patrick Campbell,https://inaturalist.ala.org.au/messages/new?to=patrick_campbell,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,GBM WHA,collection
,Wild Orchid Watch Australia,740,2468,"WILD ORCHID WATCH IS... a national citizen science project designed to collect, record and share scientific information about Australian native orchids. Welcome! We are delighted to have you on board with this exciting new citizen science app and project. You can install the Wild Orchid Watch (WOW) app on your mobile device, simply by typing in your internet browser: app.wildorchidwatch.org and follow the prompts. The WOW app is a progressive ...","Get specific data on native orchids, including hosts, substrate, search time, etc.",Mobile/Web,https://inaturalist.ala.org.au/projects/65697,Robert Lawrence,https://inaturalist.ala.org.au/messages/new?to=rwl,iNaturalist,iNaturalist & Atlas of Living Australia,"WOW Orchid type | WOW Host tree species | WOW Epiphyte height on the host (m) | WOW Is the plant surrounded by litter? | WOW Landform type | WOW Soil structure as observed from the surface | WOW Rock cover size - None | WOW Accuracy of population count | WOW Number of individuals recorded | WOW Search effort (minutes) | WOW Accuracy of search area calculation | WOW Precise area measurements - width (m) | WOW Precise area measurements - length (m) | WOW Estimated area searched (mÂ²) | WOW Area of population (mÂ²) | WOW Phenology; life stage status occurring - Vegetative | WOW Phenology - dominant life stage status most occurring | WOW Florivory damage noted | WOW Floral visitors/potential pollinators observed - Native bee | WOW Dominant vegetation growth form | WOW Height of the most dominant growth form present (metres) | WOW Foliage cover of the most dominant vegetation layer (lower storey, mid storey or upper storey) | WOW Vegetation community notes | WOW Landuse of the immediate area | WOW Wider landuse | WOW Evidence of disturbance and threats in the immediate area - None observed | WOW Phenology; life stage status occurring - Budding | WOW Phenology; life stage status occurring - Flowering | WOW Phenology; life stage status occurring - Senescent flower | WOW Phenology; life stage status occurring - Developing fruit | WOW Phenology; life stage status occurring - Senescent fruit | WOW Rock cover size - Fine gravel or small pebbles <6 mm | WOW Rock cover size - Medium gravel to medium pebbles 6 - 20 mm | WOW Rock cover size - Coarse gravel to large pebbles 20 - 60 mm | WOW Rock cover size - Cobbles 60 - 200 mm | WOW Rock cover size - Stones 200 - 600 mm | WOW Rock cover size - Boulders 600 - 2000 mm | WOW Rock cover size - Large boulders >2000 mm | WOW Evidence of disturbance and threats in the immediate area - Chemical spray | WOW Evidence of disturbance and threats in the immediate area - Cultivation | WOW Evidence of disturbance and threats in the immediate area - Dieback | WOW Evidence of disturbance and threats in the immediate area - Fire | WOW Evidence of disturbance and threats in the immediate area - Firewood/coarse woody debris removal | WOW Evidence of disturbance and threats in the immediate area - Foot trampling (human) | WOW Evidence of disturbance and threats in the immediate area - Grazing (feral, i.e.rabbits, goats) | WOW Evidence of disturbance and threats in the immediate area - Grazing (native species, presence of roo/possum scats) | WOW Evidence of disturbance and threats in the immediate area - Grazing (stock present or scats) | WOW Evidence of disturbance and threats in the immediate area - Mowing/slashing | WOW Evidence of disturbance and threats in the immediate area - Rubbish dumping | WOW Evidence of disturbance and threats in the immediate area - Storm damage | WOW Evidence of disturbance and threats in the immediate area - Soil erosion | WOW Evidence of disturbance and threats in the immediate area - Vegetation clearance | WOW Evidence of disturbance and threats in the immediate area - Weed invasion | WOW Evidence of disturbance and threats in the immediate area - Other human disturbance | WOW Floral visitors/potential pollinators observed - Introduced honey bee | WOW Floral visitors/potential pollinators observed - Native wasp | WOW Floral visitors/potential pollinators observed - Fly | WOW Floral visitors/potential pollinators observed - Fungus Gnat | WOW Floral visitors/potential pollinators observed - Ant | WOW Floral visitors/potential pollinators observed - Unknown insect | WOW Floral visitors/potential pollinators observed - None Observed",GBM WHA,traditional
,Herpetofauna of the Greater Blue Mountains Region,47,1505,"The aim is to gather reptile and amphibian observations made in the Greater Blue Mountains Region, through first hand observations. Additional information associated with any observations may hopefully be used to learn more about the various species. By gathering such data, hopefully we can gain insight into habitat preferences, localised natural distribution etc., in order to learn more about species ecological requirements, environmental thr...","Observe presence, microhabitat, behaviour of reptiles and amphibians",Mobile/Web,https://inaturalist.ala.org.au/projects/13905,Patrick Campbell,https://inaturalist.ala.org.au/messages/new?to=patrick_campbell,iNaturalist,iNaturalist & Atlas of Living Australia,Microhabitat Description | Notes on behaviours observed,GBM WHA,traditional
,"Legume Gang, Blue Mountains Chapter",1,262,This is a collection of all research-grade native Fabaceae results for Places associated with the Greater Blue Mountains World Heritage Area.,Collect research-grade Fabaceae observations in GBM WHA,Mobile/Web,https://inaturalist.ala.org.au/projects/110911,Desi Quintans,https://inaturalist.ala.org.au/messages/new?to=dquin,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,GBM WHA,collection
Yes,Blue Mountains Eco Monitoring,1,247,"To monitor impacts of climate change, tourism and urban development on ecosystems at the urban-bush interface in the upper Blue Mountains.",Monitor human impacts at the urban-bush interface of the upper Blue Mountains,Mobile/Web,https://biocollect.ala.org.au/bushfire_recovery/project/index/998b3582-6eaf-457c-9981-96842f774e19,Blue Mountains World Heritage Institute,s.terkes@bmwhi.org.au,BioCollect Project Finder,Atlas of Living Australia,,GBM WHA,The BioCollect wing of the larger iNat 'Greater Blue Mountains World Heritage Area' project
,"The Golf Links Lookout area, Leura, NSW, Australia",1,15,Identify and document species of flora and fauna in this area.,Identify flora and fauna in Golf Links Lookout area of Leura,Mobile/Web,https://inaturalist.ala.org.au/projects/69801,NA,https://inaturalist.ala.org.au/messages/new?to=merioni,iNaturalist,iNaturalist & Atlas of Living Australia,Presence,GBM WHA,collection
